Record_ID,Region,District,Year,Season,Crop,Temp_Min_C,Temp_Max_C,Rainfall_mm,Humidity_Pct,Solar_Rad_MJm2,Soil_pH,Organic_Carbon_Pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Crop_Yield_kg_ha,GDD_Degree_Days,RAI_Index,THI_Index,SNI_Index
AGR_Cen_2018_00001,Central_Zone,CG_Plains,2018,Kharif,Maize,24.15,35.22,1122.49,87.64,11.99,7.41,0.668,227.7,22.4,170.8,4607.34,2362.2,1.303,83.63,56.8
AGR_Cen_2023_00002,Central_Zone,UP_Bundelkhand,2023,Kharif,Cotton,23.27,37.21,867.2,68.49,10.0,7.21,0.505,105.3,16.2,199.9,2422.1,2428.8,0.742,81.51,44.58
AGR_Cen_2021_00003,Central_Zone,MP_Narmada,2021,Rabi,Rice,19.11,28.67,172.01,62.15,10.86,6.64,0.433,156.3,22.6,193.3,3724.26,1666.8,-0.822,71.47,56.05
AGR_Cen_2023_00004,Central_Zone,JH_Plateau,2023,Rabi,Rice,19.16,30.9,181.16,63.41,12.37,6.85,0.316,174.8,18.1,236.8,3919.19,1803.6,-0.839,73.23,62.73
AGR_Cen_2019_00005,Central_Zone,CG_Plains,2019,Kharif,Soybean,22.68,32.75,1147.86,87.76,12.2,7.43,0.498,152.5,18.3,223.6,3168.37,2125.8,1.361,80.35,53.08
AGR_Cen_2018_00006,Central_Zone,CG_Plains,2018,Kharif,Pulses,22.04,32.3,694.07,81.43,10.07,7.16,0.297,177.1,9.7,210.8,2006.88,2060.4,0.316,78.62,55.53
AGR_Cen_2023_00007,Central_Zone,MP_Narmada,2023,Kharif,Maize,22.81,36.59,632.43,60.58,10.0,6.69,0.984,130.3,8.1,256.0,4317.58,2364.0,0.232,79.49,58.95
AGR_Cen_2023_00008,Central_Zone,JH_Plateau,2023,Rabi,Rice,19.18,28.33,216.3,53.48,10.05,6.57,0.257,97.3,15.8,281.5,3773.84,1650.6,-0.755,70.46,60.06
AGR_Cen_2022_00009,Central_Zone,MP_Narmada,2022,Rabi,Wheat,21.72,30.64,217.65,69.01,10.0,6.5,0.526,159.5,18.0,227.0,3993.48,1941.6,-0.717,75.54,62.23
AGR_Cen_2021_00010,Central_Zone,MP_Narmada,2021,Rabi,Pulses,18.58,26.1,251.15,66.27,11.49,6.77,0.378,112.0,28.8,196.8,1484.49,1480.8,-0.641,69.6,49.87
AGR_Cen_2021_00011,Central_Zone,CG_Plains,2021,Zaid,Wheat,25.65,34.84,92.81,59.48,13.77,7.2,0.624,179.7,20.6,209.0,4047.47,2429.4,-1.069,80.08,56.85
AGR_Cen_2023_00012,Central_Zone,JH_Plateau,2023,Rabi,Pulses,20.9,33.02,85.96,46.68,13.64,6.62,0.741,149.4,22.8,154.8,1262.4,2035.2,-1.067,73.88,49.4
AGR_Cen_2020_00013,Central_Zone,CG_Plains,2020,Zaid,Soybean,25.38,32.53,108.14,66.15,14.52,6.91,0.286,207.8,10.4,186.8,2627.99,2274.6,-1.034,79.26,58.61
AGR_Cen_2020_00014,Central_Zone,CG_Plains,2020,Kharif,Pulses,23.97,36.96,1111.25,86.59,10.1,7.14,0.561,161.7,28.3,236.8,2278.83,2455.8,1.277,84.77,59.78
AGR_Cen_2019_00015,Central_Zone,MP_Narmada,2019,Kharif,Rice,25.96,33.07,978.01,71.57,15.84,7.19,0.682,174.0,22.8,167.4,5250.44,2341.8,1.023,80.9,50.65
AGR_Cen_2023_00016,Central_Zone,MP_Narmada,2023,Rabi,Wheat,19.86,30.1,103.59,39.81,13.32,7.24,0.313,156.7,18.0,202.3,3030.97,1797.6,-0.979,70.64,52.07
AGR_Cen_2022_00017,Central_Zone,UP_Bundelkhand,2022,Kharif,Wheat,25.24,33.41,853.92,74.33,10.0,6.74,0.371,186.0,17.1,227.3,4555.42,2319.0,0.711,81.03,63.86
AGR_Cen_2022_00018,Central_Zone,CG_Plains,2022,Rabi,Pulses,19.84,30.3,87.86,58.13,12.85,6.7,1.097,197.9,26.7,133.4,1580.5,1808.4,-1.081,72.72,53.43
AGR_Cen_2020_00019,Central_Zone,CG_Plains,2020,Kharif,Maize,24.95,35.63,1109.09,86.52,11.62,7.21,0.459,145.4,31.4,243.0,3848.08,2434.8,1.272,84.47,58.22
