Record_ID,Region,District,Year,Season,Crop,Temp_Min_C,Temp_Max_C,Rainfall_mm,Humidity_Pct,Solar_Rad_MJm2,Soil_pH,Organic_Carbon_Pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Crop_Yield_kg_ha
AGR_Cen_2018_00001,Central_Zone,CG_Plains,2018,Kharif,Maize,24.15,35.22,1122.49,87.64,11.99,7.41,0.668,227.7,22.4,170.8,4607.34
AGR_Cen_2023_00002,Central_Zone,UP_Bundelkhand,2023,Kharif,Cotton,23.27,37.21,867.2,68.49,10.0,7.21,0.505,105.3,16.2,199.9,2422.1
AGR_Cen_2021_00003,Central_Zone,MP_Narmada,2021,Rabi,Rice,19.11,28.67,172.01,62.15,10.86,6.64,0.433,156.3,22.6,193.3,3724.26
AGR_Cen_2023_00004,Central_Zone,JH_Plateau,2023,Rabi,Rice,19.16,30.9,,63.41,12.37,6.85,0.316,174.8,18.1,236.8,3919.19
AGR_Cen_2019_00005,Central_Zone,CG_Plains,2019,Kharif,Soybean,22.68,32.75,1147.86,87.76,12.2,7.43,0.498,152.5,18.3,223.6,3168.37
AGR_Cen_2018_00006,Central_Zone,CG_Plains,2018,Kharif,Pulses,22.04,32.3,694.07,81.43,10.07,7.16,0.297,177.1,9.7,210.8,2006.88
AGR_Cen_2023_00007,Central_Zone,MP_Narmada,2023,Kharif,Maize,22.81,36.59,632.43,60.58,10.0,6.69,0.984,130.3,8.1,256.0,4317.58
AGR_Cen_2023_00008,Central_Zone,JH_Plateau,2023,Rabi,Rice,19.18,28.33,216.3,53.48,10.05,6.57,0.257,97.3,15.8,281.5,3773.84
AGR_Cen_2022_00009,Central_Zone,MP_Narmada,2022,Rabi,Wheat,21.72,30.64,217.65,69.01,10.0,6.5,0.526,159.5,18.0,227.0,3993.48
AGR_Cen_2021_00010,Central_Zone,MP_Narmada,2021,Rabi,Pulses,18.58,26.1,251.15,66.27,11.49,6.77,0.378,112.0,28.8,196.8,1484.49
AGR_Cen_2021_00011,Central_Zone,CG_Plains,2021,Zaid,Wheat,,34.84,,59.48,13.77,7.2,0.624,179.7,20.6,209.0,4047.47
AGR_Cen_2023_00012,Central_Zone,JH_Plateau,2023,Rabi,Pulses,20.9,33.02,85.96,46.68,13.64,6.62,0.741,149.4,22.8,154.8,1262.4
AGR_Cen_2020_00013,Central_Zone,CG_Plains,2020,Zaid,Soybean,25.38,32.53,108.14,66.15,14.52,6.91,0.286,207.8,10.4,186.8,2627.99
AGR_Cen_2020_00014,Central_Zone,CG_Plains,2020,Kharif,Pulses,23.97,36.96,1111.25,86.59,10.1,7.14,0.561,161.7,28.3,236.8,2278.83
AGR_Cen_2019_00015,Central_Zone,MP_Narmada,2019,Kharif,Rice,25.96,33.07,978.01,71.57,15.84,7.19,0.682,174.0,22.8,167.4,5250.44
AGR_Cen_2023_00016,Central_Zone,MP_Narmada,2023,Rabi,Wheat,19.86,30.1,103.59,39.81,13.32,7.24,0.313,156.7,18.0,202.3,3030.97
AGR_Cen_2022_00017,Central_Zone,UP_Bundelkhand,2022,Kharif,Wheat,25.24,33.41,853.92,74.33,10.0,6.74,0.371,186.0,17.1,227.3,4555.42
AGR_Cen_2022_00018,Central_Zone,CG_Plains,2022,Rabi,Pulses,,,87.86,58.13,12.85,6.7,1.097,197.9,26.7,133.4,1580.5
AGR_Cen_2020_00019,Central_Zone,CG_Plains,2020,Kharif,Maize,24.95,35.63,1109.09,86.52,11.62,7.21,0.459,145.4,31.4,243.0,3848.08
AGR_Cen_2022_00020,Central_Zone,UP_Bundelkhand,2022,Kharif,Cotton,21.42,34.32,655.41,75.24,11.53,6.41,0.533,204.4,22.7,155.7,3226.87
AGR_Cen_2020_00021,Central_Zone,UP_Bundelkhand,2020,Kharif,Soybean,26.44,34.84,1161.71,71.97,11.31,5.93,0.748,202.3,23.7,131.8,3568.26
AGR_Cen_2022_00022,Central_Zone,MP_Narmada,2022,Kharif,Cotton,23.05,35.12,708.69,72.02,11.53,6.67,0.438,146.7,14.8,207.8,2969.99
AGR_Cen_2019_00023,Central_Zone,CG_Plains,2019,Rabi,Pulses,18.27,29.58,197.98,55.89,11.85,6.97,0.408,112.3,26.2,211.5,1360.46
AGR_Cen_2023_00024,Central_Zone,MP_Narmada,2023,Rabi,Maize,20.36,32.64,135.25,60.74,12.14,5.2,0.656,145.9,23.6,110.0,3185.64
AGR_Cen_2023_00025,Central_Zone,MP_Narmada,2023,Kharif,Pulses,23.95,37.02,1082.7,,10.61,7.99,0.843,208.2,25.0,194.0,2374.21
AGR_Cen_2018_00026,Central_Zone,CG_Plains,2018,Rabi,Rice,18.87,31.5,184.88,59.9,12.06,6.64,0.509,187.5,29.1,314.2,4246.44
AGR_Cen_2021_00027,Central_Zone,JH_Plateau,2021,Kharif,Wheat,21.51,30.21,1517.46,95.0,10.0,6.27,0.55,148.7,24.9,164.0,4250.7
AGR_Cen_2019_00028,Central_Zone,JH_Plateau,2019,Rabi,Wheat,,28.37,184.92,51.83,10.76,5.88,0.5,164.3,14.2,168.8,3655.81
AGR_Cen_2023_00029,Central_Zone,MP_Narmada,2023,Kharif,Rice,24.52,34.36,1344.62,93.8,12.23,7.31,0.332,122.0,28.3,214.3,4249.12
AGR_Cen_2022_00030,Central_Zone,CG_Plains,2022,Kharif,Pulses,23.06,36.86,556.99,60.39,12.66,6.59,0.285,166.2,22.3,164.6,2345.04
AGR_Cen_2023_00031,Central_Zone,CG_Plains,2023,Kharif,Wheat,22.51,32.43,815.9,77.86,10.99,7.04,0.909,203.3,10.9,247.9,5334.02
AGR_Cen_2020_00032,Central_Zone,CG_Plains,2020,Rabi,Rice,21.12,,188.93,,11.94,6.66,0.724,252.5,21.8,271.9,4980.91
AGR_Cen_2020_00033,Central_Zone,JH_Plateau,2020,Rabi,Soybean,,34.32,188.56,66.63,12.55,7.4,0.715,199.5,21.4,137.5,2896.8
AGR_Cen_2021_00034,Central_Zone,CG_Plains,2021,Kharif,Wheat,,38.14,1205.59,94.82,10.0,6.39,0.729,153.8,13.8,233.5,4599.93
AGR_Cen_2022_00035,Central_Zone,MP_Narmada,2022,Kharif,Wheat,23.62,31.51,1026.75,85.09,10.0,7.56,0.658,185.6,33.4,189.0,4535.42
AGR_Cen_2019_00036,Central_Zone,JH_Plateau,2019,Kharif,Soybean,23.17,32.69,,63.77,11.94,7.14,0.663,145.6,23.4,192.8,3068.54
AGR_Cen_2022_00037,Central_Zone,MP_Narmada,2022,Rabi,Wheat,18.58,29.79,242.28,50.5,10.31,6.42,0.665,165.2,24.7,166.6,4080.32
AGR_Cen_2021_00038,Central_Zone,CG_Plains,2021,Rabi,Rice,20.31,33.42,189.26,49.51,13.21,7.47,0.69,236.7,26.4,202.0,4969.59
AGR_Cen_2023_00039,Central_Zone,CG_Plains,2023,Rabi,Cotton,18.83,28.81,199.14,63.91,10.67,7.51,0.615,197.3,24.8,167.9,2369.76
AGR_Cen_2019_00040,Central_Zone,JH_Plateau,2019,Rabi,Pulses,22.52,33.28,280.01,70.07,12.48,6.42,0.566,158.4,18.8,279.6,1827.02
AGR_Cen_2023_00041,Central_Zone,MP_Narmada,2023,Rabi,Soybean,19.33,32.26,214.88,64.87,14.77,6.68,0.395,147.2,25.3,110.0,2450.96
AGR_Cen_2019_00042,Central_Zone,JH_Plateau,2019,Kharif,Soybean,22.97,30.56,711.23,82.41,11.51,6.24,0.574,160.6,20.6,196.5,3121.22
AGR_Cen_2018_00043,Central_Zone,MP_Narmada,2018,Kharif,Rice,23.93,34.03,624.67,61.45,12.57,7.14,0.749,170.9,20.7,246.7,5459.13
