Record_ID,Region,District,Year,Season,Crop,Temp_Min_C,Temp_Max_C,Rainfall_mm,Humidity_Pct,Solar_Rad_MJm2,Soil_pH,Organic_Carbon_Pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Crop_Yield_kg_ha
AGR_Eas_2021_00001,East_Zone,Assam_Valley,2021,Kharif,Pulses,24.5,33.72,1093.92,95.0,11.76,7.31,0.461,143.3,21.9,253.5,1892.94
AGR_Eas_2022_00002,East_Zone,Bihar_Plains,2022,Kharif,Rice,23.6,31.9,1361.23,91.86,10.0,7.65,0.246,173.2,22.5,184.3,4680.68
AGR_Eas_2019_00003,East_Zone,Assam_Valley,2019,Rabi,Wheat,19.02,27.42,379.47,72.88,11.07,6.47,0.48,182.3,28.1,165.2,3935.45
AGR_Eas_2020_00004,East_Zone,WB_Gangetic,2020,Rabi,Cotton,18.29,29.23,461.83,66.56,10.0,7.19,0.343,190.9,23.2,211.2,2599.93
AGR_Eas_2018_00005,East_Zone,Odisha_Coastal,2018,Rabi,Cotton,20.71,33.95,382.85,88.24,10.98,8.0,0.645,235.8,13.2,240.4,3102.45
AGR_Eas_2020_00006,East_Zone,Bihar_Plains,2020,Rabi,Rice,18.8,30.38,260.25,82.99,12.01,6.77,0.715,184.3,23.4,223.7,4700.21
AGR_Eas_2018_00007,East_Zone,Assam_Valley,2018,Kharif,Cotton,26.73,39.14,780.89,75.19,11.36,7.5,0.554,189.6,20.0,147.2,2629.34
AGR_Eas_2022_00008,East_Zone,Odisha_Coastal,2022,Kharif,Pulses,23.62,36.03,1407.14,92.3,12.13,6.02,0.442,176.6,15.0,150.6,2232.85
AGR_Eas_2022_00009,East_Zone,WB_Gangetic,2022,Zaid,Pulses,24.43,34.25,66.21,59.86,10.86,6.89,0.64,205.8,32.0,237.3,1540.07
AGR_Eas_2022_00010,East_Zone,WB_Gangetic,2022,Zaid,Pulses,22.31,30.73,179.5,49.82,10.7,7.33,0.893,157.4,28.2,240.8,1777.58
AGR_Eas_2018_00011,East_Zone,WB_Gangetic,2018,Kharif,Rice,21.43,34.31,1386.39,95.0,10.48,5.89,0.8,179.0,14.5,278.0,5318.83
AGR_Eas_2023_00012,East_Zone,WB_Gangetic,2023,Rabi,Pulses,18.18,28.59,275.03,68.4,13.24,6.42,0.57,118.1,21.5,211.7,1445.43
AGR_Eas_2022_00013,East_Zone,WB_Gangetic,2022,Kharif,Wheat,20.82,30.14,1567.4,91.82,10.0,6.09,0.521,147.1,10.1,191.9,4193.15
AGR_Eas_2021_00014,East_Zone,Odisha_Coastal,2021,Rabi,Rice,16.97,28.51,308.77,63.1,10.0,7.2,0.648,157.3,24.7,284.4,4798.2
AGR_Eas_2018_00015,East_Zone,Bihar_Plains,2018,Kharif,Soybean,23.63,35.59,1389.92,,10.0,6.69,0.321,186.1,18.5,220.0,3544.67
AGR_Eas_2023_00016,East_Zone,WB_Gangetic,2023,Rabi,Wheat,20.0,,236.18,41.53,13.23,6.2,0.66,185.6,30.6,209.1,4364.21
AGR_Eas_2023_00017,East_Zone,Odisha_Coastal,2023,Zaid,Rice,23.76,37.1,134.61,52.19,12.81,7.33,0.536,211.0,24.6,277.1,4560.99
AGR_Eas_2023_00018,East_Zone,WB_Gangetic,2023,Zaid,Rice,24.71,33.65,102.85,43.82,14.56,6.54,0.607,94.7,21.0,200.5,4024.36
AGR_Eas_2018_00019,East_Zone,Assam_Valley,2018,Kharif,Soybean,,33.07,1080.41,95.0,10.0,6.69,0.971,177.5,16.4,206.5,3468.46
AGR_Eas_2019_00020,East_Zone,Assam_Valley,2019,Rabi,Soybean,19.67,32.69,,47.67,12.6,8.31,0.836,185.2,16.9,241.0,3347.6
AGR_Eas_2022_00021,East_Zone,Assam_Valley,2022,Rabi,Maize,18.68,30.39,148.49,49.28,14.75,7.35,0.806,175.1,21.1,110.0,3530.37
AGR_Eas_2023_00022,East_Zone,Assam_Valley,2023,Kharif,Wheat,23.12,35.01,947.86,63.76,12.38,7.92,0.817,213.8,14.6,185.5,4948.19
AGR_Eas_2018_00023,East_Zone,Bihar_Plains,2018,Rabi,Wheat,18.33,28.65,264.37,65.16,10.58,7.14,0.532,185.5,26.9,215.9,4066.8
AGR_Eas_2019_00024,East_Zone,WB_Gangetic,2019,Rabi,Pulses,21.07,33.69,414.97,66.0,10.66,6.98,0.742,217.6,30.3,193.0,2554.11
AGR_Eas_2019_00025,East_Zone,WB_Gangetic,2019,Kharif,Pulses,23.84,37.64,1118.96,95.0,10.01,5.84,0.659,195.8,14.4,268.2,2355.35
