Record_ID,Region,District,Year,Season,Crop,Temp_Min_C,Temp_Max_C,Rainfall_mm,Humidity_Pct,Solar_Rad_MJm2,Soil_pH,Organic_Carbon_Pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Crop_Yield_kg_ha
AGR_Nor_2021_00001,North_Zone,UP_Western,2021,Zaid,Cotton,21.2,,107.83,33.48,13.67,7.04,0.433,182.8,21.0,211.0,1970.03
AGR_Nor_2023_00002,North_Zone,UP_Western,2023,Rabi,Soybean,,28.16,145.77,43.35,14.42,6.44,0.547,158.9,33.1,209.4,2160.15
AGR_Nor_2019_00003,North_Zone,Haryana_East,2019,Kharif,Wheat,20.31,33.2,663.33,50.33,10.88,6.9,0.658,206.1,11.0,235.4,4779.35
AGR_Nor_2018_00004,North_Zone,Rajasthan_North,2018,Kharif,Cotton,21.49,29.01,572.98,74.92,12.28,7.34,0.736,172.7,18.3,142.1,3072.44
AGR_Nor_2023_00005,North_Zone,Punjab_Central,2023,Rabi,Maize,17.54,29.87,104.2,68.43,11.83,8.5,0.434,166.0,21.6,146.2,3174.44
AGR_Nor_2020_00006,North_Zone,Punjab_Central,2020,Kharif,Maize,22.06,33.43,722.18,67.97,10.57,5.91,0.559,213.7,20.7,175.2,4224.31
AGR_Nor_2018_00007,North_Zone,Punjab_Central,2018,Rabi,Maize,17.01,26.93,120.62,50.07,12.42,7.07,0.57,187.5,9.9,167.6,3400.63
AGR_Nor_2018_00008,North_Zone,Rajasthan_North,2018,Kharif,Rice,20.34,29.75,633.17,85.44,11.59,5.3,0.866,255.6,29.4,200.4,5607.89
AGR_Nor_2023_00009,North_Zone,Rajasthan_North,2023,Rabi,Rice,17.04,28.91,82.12,48.57,14.86,7.23,0.429,161.2,28.6,229.3,3408.2
AGR_Nor_2023_00010,North_Zone,UP_Western,2023,Rabi,Soybean,14.43,28.41,134.76,55.12,13.49,6.71,0.633,213.8,15.6,214.9,2393.04
AGR_Nor_2021_00011,North_Zone,Rajasthan_North,2021,Rabi,Pulses,17.26,29.11,81.33,40.8,15.23,6.22,0.742,220.6,17.1,253.4,1446.16
AGR_Nor_2023_00012,North_Zone,Haryana_East,2023,Kharif,Pulses,22.32,33.74,602.08,70.2,13.89,6.64,1.09,201.9,16.9,161.8,2573.73
AGR_Nor_2018_00013,North_Zone,Punjab_Central,2018,Zaid,Rice,26.18,40.04,95.93,51.02,11.95,6.43,0.454,98.9,20.4,259.3,3498.58
AGR_Nor_2019_00014,North_Zone,Haryana_East,2019,Kharif,Wheat,22.32,30.28,,73.17,14.24,6.4,0.295,203.0,13.4,156.8,4463.02
AGR_Nor_2021_00015,North_Zone,Rajasthan_North,2021,Rabi,Pulses,15.63,29.5,111.8,55.22,12.76,7.01,0.262,213.8,18.9,264.5,1221.8
AGR_Nor_2022_00016,North_Zone,Haryana_East,2022,Zaid,Pulses,22.84,32.87,55.28,43.27,15.35,7.87,0.478,125.8,19.9,218.3,1345.67
AGR_Nor_2020_00017,North_Zone,Rajasthan_North,2020,Kharif,Maize,20.64,28.33,1024.4,51.73,10.78,6.65,0.375,237.1,13.4,190.2,4096.92
AGR_Nor_2022_00018,North_Zone,Rajasthan_North,2022,Rabi,Wheat,17.1,30.69,114.59,34.85,17.08,6.43,0.98,204.0,22.4,229.8,4206.23
AGR_Nor_2019_00019,North_Zone,Haryana_East,2019,Kharif,Maize,22.85,32.54,391.76,51.81,15.38,6.78,0.291,143.5,30.0,230.2,3691.03
AGR_Nor_2020_00020,North_Zone,Haryana_East,2020,Kharif,Rice,20.0,,882.39,77.24,12.47,7.3,0.746,225.7,22.1,240.7,5437.94
AGR_Nor_2021_00021,North_Zone,Rajasthan_North,2021,Zaid,Soybean,,36.01,86.3,42.82,11.29,7.49,0.742,201.8,25.8,209.4,2523.9
AGR_Nor_2020_00022,North_Zone,UP_Western,2020,Rabi,Soybean,18.33,31.4,149.84,52.41,15.13,6.5,0.356,124.6,22.5,257.7,2152.81
AGR_Nor_2021_00023,North_Zone,UP_Western,2021,Kharif,Maize,21.47,31.44,945.07,78.48,10.14,6.39,0.591,224.5,26.6,232.2,4307.32
AGR_Nor_2023_00024,North_Zone,Punjab_Central,2023,Rabi,Cotton,17.34,,130.5,59.09,12.2,8.17,0.673,164.9,33.2,264.0,2249.34
AGR_Nor_2023_00025,North_Zone,Rajasthan_North,2023,Kharif,Cotton,19.74,29.99,530.12,,10.0,5.65,0.665,200.0,27.8,243.4,3154.16
AGR_Nor_2018_00026,North_Zone,Haryana_East,2018,Rabi,Rice,19.06,28.81,102.89,56.02,14.86,6.93,0.513,237.4,23.4,217.5,4545.19
AGR_Nor_2018_00027,North_Zone,UP_Western,2018,Kharif,Cotton,18.95,30.65,757.1,59.9,14.57,7.0,0.465,234.3,22.7,263.1,2934.55
