Record_ID,Region,District,Year,Season,Crop,Temp_Min_C,Temp_Max_C,Rainfall_mm,Humidity_Pct,Solar_Rad_MJm2,Soil_pH,Organic_Carbon_Pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Crop_Yield_kg_ha
AGR_Sou_2018_00001,South_Zone,AP_Coastal,2018,Kharif,Soybean,25.04,38.88,,88.22,10.0,7.36,0.312,151.3,23.3,250.1,2903.6
AGR_Sou_2019_00002,South_Zone,Kerala_Highland,2019,Rabi,Pulses,21.23,34.4,203.97,46.24,11.89,6.3,0.715,166.4,20.5,127.4,1943.66
AGR_Sou_2018_00003,South_Zone,Kerala_Highland,2018,Rabi,Rice,21.58,30.24,193.7,54.77,12.93,6.43,0.631,140.7,23.0,124.8,4456.1
AGR_Sou_2020_00004,South_Zone,Karnataka_Deccan,2020,Kharif,Rice,27.57,,1156.48,,10.0,8.2,0.459,123.4,32.2,245.1,4826.5
AGR_Sou_2022_00005,South_Zone,Karnataka_Deccan,2022,Rabi,Pulses,23.74,37.55,228.46,65.66,12.96,6.25,0.612,148.4,24.6,246.9,1564.49
AGR_Sou_2020_00006,South_Zone,Karnataka_Deccan,2020,Rabi,Soybean,23.28,33.48,262.01,60.5,12.56,6.7,0.589,222.7,22.9,217.6,3060.24
AGR_Sou_2020_00007,South_Zone,Karnataka_Deccan,2020,Rabi,Cotton,25.13,34.4,,60.26,13.66,7.33,0.762,168.2,20.5,241.6,2105.57
AGR_Sou_2019_00008,South_Zone,AP_Coastal,2019,Zaid,Cotton,25.31,38.09,104.6,60.72,14.73,7.05,0.545,142.7,10.2,260.3,1836.03
AGR_Sou_2021_00009,South_Zone,TN_Delta,2021,Rabi,Maize,21.53,28.67,277.85,56.59,10.0,7.66,0.76,189.7,30.6,258.4,3983.41
AGR_Sou_2022_00010,South_Zone,AP_Coastal,2022,Rabi,Soybean,22.77,31.57,161.57,,10.0,6.66,1.05,173.3,20.1,175.8,2674.32
AGR_Sou_2018_00011,South_Zone,TN_Delta,2018,Rabi,Soybean,24.24,37.89,222.67,61.67,10.0,7.19,0.605,187.5,33.1,209.1,2620.2
AGR_Sou_2020_00012,South_Zone,AP_Coastal,2020,Rabi,Rice,22.76,36.6,305.96,69.98,10.0,5.72,0.848,175.5,19.4,149.8,5099.55
AGR_Sou_2023_00013,South_Zone,AP_Coastal,2023,Rabi,Soybean,20.92,32.92,,59.29,13.41,7.16,0.675,226.4,10.9,208.6,3075.67
AGR_Sou_2020_00014,South_Zone,Karnataka_Deccan,2020,Kharif,Rice,25.91,38.81,458.98,51.99,12.87,6.27,0.617,209.2,24.8,140.2,5160.84
AGR_Sou_2020_00015,South_Zone,TN_Delta,2020,Zaid,Cotton,25.17,37.53,149.64,38.31,12.56,7.16,0.751,210.1,17.8,224.7,2720.23
AGR_Sou_2023_00016,South_Zone,Karnataka_Deccan,2023,Rabi,Wheat,21.86,32.49,104.31,,16.46,5.89,0.602,163.1,18.2,202.3,3722.67
AGR_Sou_2022_00017,South_Zone,Kerala_Highland,2022,Rabi,Cotton,24.15,37.12,318.43,75.89,10.0,7.48,0.727,158.6,23.4,223.6,2724.14
AGR_Sou_2023_00018,South_Zone,AP_Coastal,2023,Kharif,Rice,21.8,35.19,937.87,91.47,11.08,6.24,0.681,257.7,13.1,176.2,5643.62
AGR_Sou_2019_00019,South_Zone,AP_Coastal,2019,Rabi,Pulses,,35.44,370.11,88.51,10.0,6.95,0.736,182.6,28.7,203.0,2465.34
AGR_Sou_2019_00020,South_Zone,TN_Delta,2019,Rabi,Cotton,21.66,34.43,224.21,62.32,10.0,6.34,0.414,237.3,20.3,207.8,2588.75
AGR_Sou_2018_00021,South_Zone,TN_Delta,2018,Kharif,Cotton,26.03,39.73,1430.18,95.0,10.0,7.04,0.545,162.3,28.1,138.6,2929.72
AGR_Sou_2019_00022,South_Zone,Karnataka_Deccan,2019,Rabi,Maize,18.15,27.58,259.78,65.93,13.1,6.24,0.865,151.5,32.0,231.1,3851.35
AGR_Sou_2023_00023,South_Zone,Kerala_Highland,2023,Rabi,Wheat,21.74,33.55,369.16,73.85,10.0,7.12,0.488,199.1,17.2,157.0,4396.15
AGR_Sou_2022_00024,South_Zone,AP_Coastal,2022,Kharif,Pulses,26.2,34.54,574.57,70.75,14.88,7.34,0.509,197.3,11.0,216.4,2408.77
AGR_Sou_2021_00025,South_Zone,TN_Delta,2021,Rabi,Maize,21.01,28.73,191.51,42.68,10.0,6.56,0.713,223.6,25.3,168.5,3657.81
AGR_Sou_2022_00026,South_Zone,Karnataka_Deccan,2022,Rabi,Cotton,20.06,33.74,346.02,46.83,15.8,6.94,0.434,187.5,13.2,270.8,2673.19
AGR_Sou_2018_00027,South_Zone,Kerala_Highland,2018,Kharif,Wheat,26.6,35.4,603.51,65.76,11.12,6.07,0.326,176.7,31.3,278.4,4334.98
AGR_Sou_2019_00028,South_Zone,TN_Delta,2019,Rabi,Soybean,21.93,29.66,223.21,38.45,10.5,5.94,0.586,150.7,31.3,149.9,2754.41
AGR_Sou_2021_00029,South_Zone,Karnataka_Deccan,2021,Rabi,Rice,21.75,29.53,237.02,46.19,12.5,6.02,0.515,186.8,28.3,276.9,4538.68
AGR_Sou_2022_00030,South_Zone,AP_Coastal,2022,Kharif,Pulses,25.44,34.02,728.33,85.41,10.0,6.84,0.686,223.6,25.6,251.9,2545.97
AGR_Sou_2019_00031,South_Zone,TN_Delta,2019,Kharif,Rice,25.89,34.44,1183.97,88.04,11.33,7.8,0.653,137.3,19.0,196.8,4953.26
AGR_Sou_2021_00032,South_Zone,Kerala_Highland,2021,Kharif,Wheat,28.39,40.17,326.73,48.79,12.01,6.56,0.803,127.2,28.3,245.5,4594.27
AGR_Sou_2018_00033,South_Zone,Kerala_Highland,2018,Rabi,Soybean,25.36,34.33,121.01,53.42,10.0,6.42,0.561,135.0,17.4,220.3,2476.93
AGR_Sou_2021_00034,South_Zone,AP_Coastal,2021,Kharif,Maize,26.23,34.97,,95.0,10.0,6.66,0.571,163.2,18.1,215.3,4292.09
AGR_Sou_2022_00035,South_Zone,AP_Coastal,2022,Kharif,Maize,24.69,38.24,1532.84,95.0,10.0,6.53,0.536,175.0,17.3,286.0,3976.49
AGR_Sou_2019_00036,South_Zone,Kerala_Highland,2019,Kharif,Cotton,26.5,36.69,549.4,61.11,10.0,6.45,0.883,90.0,28.0,130.3,2978.87
