Record_ID,Region,District,Year,Season,Crop,Temp_Min_C,Temp_Max_C,Rainfall_mm,Humidity_Pct,Solar_Rad_MJm2,Soil_pH,Organic_Carbon_Pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Crop_Yield_kg_ha
AGR_Wes_2023_00001,West_Zone,MH_Marathwada,2023,Zaid,Rice,29.06,36.56,54.01,66.67,10.0,6.41,0.653,138.5,18.5,153.6,3929.9
AGR_Wes_2022_00002,West_Zone,MH_Marathwada,2022,Rabi,Wheat,18.66,25.99,97.63,51.77,10.0,6.2,0.747,193.9,24.1,183.0,3600.99
AGR_Wes_2022_00003,West_Zone,MH_Vidarbha,2022,Zaid,Rice,26.78,40.74,41.24,49.84,13.6,6.96,0.948,229.4,16.7,198.0,4984.17
AGR_Wes_2022_00004,West_Zone,MH_Vidarbha,2022,Kharif,Soybean,28.3,36.13,626.35,70.73,11.55,5.69,0.534,227.8,18.5,198.1,3383.03
AGR_Wes_2019_00005,West_Zone,MP_Malwa,2019,Zaid,Soybean,30.61,44.55,54.11,76.2,10.56,6.86,0.271,173.4,26.0,150.9,1850.54
AGR_Wes_2021_00006,West_Zone,GJ_Saurashtra,2021,Kharif,Rice,23.27,34.11,,85.14,10.0,6.03,0.349,240.8,22.5,308.6,5516.22
AGR_Wes_2020_00007,West_Zone,MH_Marathwada,2020,Rabi,Pulses,21.27,31.86,219.96,45.37,15.42,7.35,0.701,245.4,17.9,169.8,1664.12
AGR_Wes_2019_00008,West_Zone,MH_Vidarbha,2019,Kharif,Rice,23.72,36.36,918.24,85.46,10.0,6.8,0.53,136.3,20.4,199.7,4664.53
AGR_Wes_2018_00009,West_Zone,MH_Vidarbha,2018,Rabi,Wheat,19.92,27.49,138.34,56.93,14.57,7.07,0.534,159.2,29.8,311.4,3645.6
AGR_Wes_2019_00010,West_Zone,GJ_Saurashtra,2019,Rabi,Soybean,20.04,31.07,181.07,50.18,12.42,6.9,0.374,200.2,17.5,167.8,2409.36
AGR_Wes_2019_00011,West_Zone,MH_Marathwada,2019,Kharif,Soybean,23.56,32.55,730.99,73.18,10.59,5.88,0.819,173.8,17.0,250.1,3189.45
AGR_Wes_2019_00012,West_Zone,GJ_Saurashtra,2019,Rabi,Maize,21.2,29.99,181.23,40.99,13.59,5.92,0.741,149.6,22.0,249.0,3293.28
